source_id,name,address,facility_type,business_type,risk_class,latest_inspection_date,latest_remark,inspection_count,latitude,longitude,source
0EC7C33B-9D25-4E7B-ACCB-939D27066D5F,Di Luca & Di Luca AB,Alsnögatan 11,,Övrigt,8.0,2025-09-23,Utan avvikelse,17,59.313717347997226,18.102385182760386,Stockholms stad livsmedelskontroll
DD1E8444-4D1D-4B7E-A6AF-5F8A226EB77E,DiWine Restaurang,Drottninggatan 25,,"Restaurang-, catering- och barverksamhet",6.0,2025-03-25,,31,59.33047393744535,18.064630500138204,Stockholms stad livsmedelskontroll
EB726D77-C7EF-474B-BC08-EFD03E8D739C,Dibber Stora Essingen anpassad grundskola,Junohällsvägen 1,,"Restaurang-, catering- och barverksamhet",,2025-10-09,Utan avvikelse,8,59.326111976247255,17.990122005610935,Stockholms stad livsmedelskontroll
585F5A41-32E3-4C5B-B9F1-B0B98F2DCBB1,Diego Deli mobil verksamhet,,,Detaljhandel,,2025-06-27,Avvikelse,1,,,Stockholms stad livsmedelskontroll
02712029-F6CA-49D7-9361-CAC001926457,Din-Din Club Liljeholmen,Sjövikstorget 6,,"Restaurang-, catering- och barverksamhet",5.0,2025-05-14,Utan avvikelse,24,59.3081618376426,18.029300799836104,Stockholms stad livsmedelskontroll
539C4E4B-466A-48CF-8C9D-76D4C27B2267,Direkten Skarpnäck,Skarpnäcks Allé 62,,Detaljhandel,7.0,2025-04-22,,8,59.26614063155981,18.132699477413077,Stockholms stad livsmedelskontroll
FE7FDF9B-DDAA-44AC-9C00-BE1A8F352886,Divine,Birger Jarlsgatan 58,,Partihandel,8.0,2025-05-23,Utan avvikelse,10,59.31186878266604,18.05746672248698,Stockholms stad livsmedelskontroll
78C9D388-E5E1-4B4C-B1AE-B26398A5ABA0,Djingis Khan Barbeque,Sveavägen 36,,"Restaurang-, catering- och barverksamhet",6.0,2025-01-23,Utan avvikelse,21,59.33638129544081,18.063077947971696,Stockholms stad livsmedelskontroll
BC4A7D60-3FAC-4A52-81CE-B79645F838A6,Djurgårdsslättens Glasskiosk,Djurgårdsslätten 45D,,Detaljhandel,8.0,2025-07-03,Utan avvikelse,9,59.3241317021167,18.100484442744964,Stockholms stad livsmedelskontroll
CD09EF1C-2D37-4298-8C9E-F230904F8DDF,Doctor SANDWICH,Gullmarsplan 3,,"Restaurang-, catering- och barverksamhet",,2024-09-18,Utan avvikelse,25,59.29850213190888,18.0802854560617,Stockholms stad livsmedelskontroll
