source_id,source_name,source_record_name,place_name,osm_type,osm_id,match_score,match_reason,distance_meters
83DEFE3F-CB05-4149-A8BD-19001096DC31,Stockholms stad livsmedelskontroll,Bagel deli,Bagel Deli,catalog,267197434,0.9952,nearby coordinates and similar name,4.3
94484376-6D56-4C76-AAFE-0EDF538F6166,Stockholms stad livsmedelskontroll,Bar Montan,Bar Montan,catalog,1105971502,0.99,nearby coordinates and similar name,9.0
6FE1B642-8552-4044-ACA4-B4F2CE992C39,Stockholms stad livsmedelskontroll,Beirut Foodbynatt I,Beirut food by natt,catalog,3949616965,0.966,nearby coordinates and similar name,23.0
45C1FBEC-A4C5-4F4E-9466-F5879238E54C,Stockholms stad livsmedelskontroll,Beiruts Brygga,Beiruts Brygga,catalog,438461409,0.9929,nearby coordinates and similar name,6.4
67D55C0D-73EB-40A5-B641-E23EB261935A,Stockholms stad livsmedelskontroll,Biblioteket Live,Biblioteket Live,catalog,1001669065,0.9935,nearby coordinates and similar name,5.8
B6EFB5C7-0EA0-4693-AF9C-8539A67DC209,Stockholms stad livsmedelskontroll,Birkastans restaurang och pizzeria,Birkastans pizzeria,catalog,2758267811,0.9642,nearby coordinates and similar name,12.8
B1A1F873-17B7-4E7E-B408-DD42D1623D27,Stockholms stad livsmedelskontroll,Bistro Bromma,Bistro Bromma,catalog,2692176703,0.9888,nearby coordinates and similar name,10.0
5CC7C076-993F-4E94-81E3-30E6081BD1C8,Stockholms stad livsmedelskontroll,Bistro Capitol,Bistro Capitol,catalog,2637630155,0.9967,nearby coordinates and similar name,3.0
74D92026-CF9E-4A84-9EE6-22A1B4971B9F,Stockholms stad livsmedelskontroll,Bistro Mirabelle,Bistro Mirabelle,catalog,576347597,0.9946,nearby coordinates and similar name,4.8
5DF42B47-1D40-4CCB-9EAE-2682C92CEF92,Stockholms stad livsmedelskontroll,Blue Light Yokohama,Blue Light Yokohoma,catalog,812193234,0.9755,nearby coordinates and similar name,7.2
98220C88-7888-4529-AC0A-B63ECDDC399B,Stockholms stad livsmedelskontroll,Boteco da SILVANIA,Boteco da Silvania,catalog,3759172771,0.996,nearby coordinates and similar name,3.6
A6BBAFD7-BAE0-45A3-B257-8B14446375E5,Stockholms stad livsmedelskontroll,Brasserie Elverket,Brasserie Elverket,catalog,3207555622,0.9958,nearby coordinates and similar name,3.8
829568C8-7FA3-4CF7-A588-09A0331C7182,Stockholms stad livsmedelskontroll,Bredängs Bar & Kök,Bredängs bar & kök,catalog,3682682947,0.9965,nearby coordinates and similar name,3.2
E0F07747-CC9F-48A6-89A7-38D05E2F2969,Stockholms stad livsmedelskontroll,Brickyard,Brickyard,catalog,786770792,0.986,nearby coordinates and similar name,12.6
C849AB8C-4FAA-4A68-89EF-F41497D05A52,Stockholms stad livsmedelskontroll,Brioche,Brioche,catalog,329124272,0.9853,nearby coordinates and similar name,13.2
DF5D9FD1-8E02-4DD1-B3A4-D1F2576B044E,Stockholms stad livsmedelskontroll,Bröd & Salt,Bröd & Salt,catalog,244067072,0.9872,nearby coordinates and similar name,11.6
5ADFA59B-DF6F-44AB-BBDF-464028933534,Stockholms stad livsmedelskontroll,Bröd & Salt,Bröd & Salt,catalog,229554283,0.9132,nearby coordinates and similar name,78.1
B5DA1043-AA2D-44E0-BB91-AF61602FAB6E,Stockholms stad livsmedelskontroll,Buddha Nepal,Buddha Nepal,catalog,2807578844,0.9917,nearby coordinates and similar name,7.5
E48F1750-E371-4B39-8393-D587FD027654,Stockholms stad livsmedelskontroll,Bullens Cafe,Bullens,catalog,238385895,0.9862,nearby coordinates and similar name,12.5
76020E8B-0E9E-450A-B4DD-DE08998DE8A2,Stockholms stad livsmedelskontroll,Bun Meat Bun,Bun Meat Bun,catalog,1292966744,0.9951,nearby coordinates and similar name,4.4
8A7F4DED-5F67-4E60-8090-C9E4FE1F93FD,Stockholms stad livsmedelskontroll,Burger Mansion,Burger Mansion,catalog,3571686146,0.9666,nearby coordinates and similar name,30.0
DDB7D0A2-3882-4511-8F22-53C12585B9CA,Stockholms stad livsmedelskontroll,By:Fiket,By:fiket,catalog,1269636461,0.9956,nearby coordinates and similar name,4.0
67867F38-8116-4075-B3F9-E9B5EF1F5E40,Stockholms stad livsmedelskontroll,CGs Streetfood,Cgs Streetfood,catalog,3091082782,0.9328,nearby coordinates and similar name,60.5
E8A5DC95-E167-431E-B638-33DE3C27BE63,Stockholms stad livsmedelskontroll,Cachay,Cachay,catalog,3816746288,0.9966,nearby coordinates and similar name,3.1
16FB9369-A2E0-472A-B917-75688F9E0400,Stockholms stad livsmedelskontroll,Cafe Babel Deli,Babel Deli,catalog,4051849352,0.9918,nearby coordinates and similar name,7.3
82E6D6A7-4186-45BB-9F6B-79A4C782F3B3,Stockholms stad livsmedelskontroll,Cafe Blomma,Café Blomma,catalog,3199726192,0.9847,nearby coordinates and similar name,13.8
2734B8D2-E5FF-4E91-B99C-ADFF60833A91,Stockholms stad livsmedelskontroll,Cafe Delantina,Delantina,catalog,2723724366,0.9926,nearby coordinates and similar name,6.6
9FA5DEBC-5C5F-4C44-8FDA-E8D8C39D1EF9,Stockholms stad livsmedelskontroll,Cafe Euro Bar,Eurobar Café,catalog,1980039558,0.9955,nearby coordinates and similar name,4.1
3B1293FF-9514-4AA7-9EC1-9C16C421828C,Stockholms stad livsmedelskontroll,Cafe Kåkbrinken,Kåkbrinken,catalog,2947453476,0.9986,nearby coordinates and similar name,1.2
0A0C95FC-E98C-474F-AD0A-7A800055F8E0,Stockholms stad livsmedelskontroll,Cafe Lilla Hörnan,Café Lilla Hörnan,catalog,3924088226,0.9948,nearby coordinates and similar name,4.6
63A456A4-C483-48C7-9CE5-1B15BA39A91D,Stockholms stad livsmedelskontroll,Cafe Söderberg,Cafe Söderberg,catalog,3616633030,0.9864,nearby coordinates and similar name,12.2
7BA70240-4C07-44CB-A93D-F1ED760C6C31,Stockholms stad livsmedelskontroll,Cafekoppen,Cafékoppen,catalog,3414209342,0.9691,nearby coordinates and similar name,2.6
84D61F0E-7472-4295-B349-9BF0E608323A,Stockholms stad livsmedelskontroll,Caffetteria del corso,Caffetteria del Corso,catalog,3436356476,0.9572,nearby coordinates and similar name,38.6
BB4B0A6B-C552-4517-913F-675027E5BAC5,Stockholms stad livsmedelskontroll,Café Majella,Majella,catalog,2150312613,0.9904,nearby coordinates and similar name,8.6
037E43A5-2FF3-460C-9F69-DF42A91B9DBB,Stockholms stad livsmedelskontroll,Casa Amico,Casa Amico,catalog,1736621131,0.9928,nearby coordinates and similar name,6.4
D1A0DEF0-D284-47F7-B65A-8861B307419F,Stockholms stad livsmedelskontroll,Chioi,Chiôi,catalog,1906059529,0.9558,nearby coordinates and similar name,11.8
682D5849-B915-4DD6-A911-25D81A9C5976,Stockholms stad livsmedelskontroll,Chokladfabriken,Chokladfabriken,catalog,3218434935,0.9882,nearby coordinates and similar name,10.6
655069F7-90A1-493C-A5D5-5D63E053636B,Stockholms stad livsmedelskontroll,Crêperie Rustique,Crêperie Rustique,catalog,3496270637,0.9906,nearby coordinates and similar name,8.5
F4430519-2E87-4531-9382-96B4B89E4506,Stockholms stad livsmedelskontroll,Daisys Express,Daisy's Express,catalog,1068649188,0.9784,nearby coordinates and similar name,19.5
